"G_InP - RawData"
"Wavelength nm.","Abs."
498.00,0.007
498.50,0.007
499.00,0.007
499.50,0.007
500.00,0.007
500.50,0.007
501.00,0.007
501.50,0.007
502.00,0.008
502.50,0.008
503.00,0.008
503.50,0.008
504.00,0.008
504.50,0.008
505.00,0.008
505.50,0.008
506.00,0.008
506.50,0.008
507.00,0.008
507.50,0.008
508.00,0.008
508.50,0.008
509.00,0.008
509.50,0.008
510.00,0.008
510.50,0.008
511.00,0.008
511.50,0.008
512.00,0.008
512.50,0.008
513.00,0.008
513.50,0.008
514.00,0.008
514.50,0.008
515.00,0.008
515.50,0.008
516.00,0.008
516.50,0.008
517.00,0.008
517.50,0.008
518.00,0.008
518.50,0.008
519.00,0.007
519.50,0.007
520.00,0.007
520.50,0.007
521.00,0.007
521.50,0.007
522.00,0.007
522.50,0.007
523.00,0.007
523.50,0.006
524.00,0.006
524.50,0.006
525.00,0.006
525.50,0.006
526.00,0.006
526.50,0.006
527.00,0.006
527.50,0.006
528.00,0.005
528.50,0.005
529.00,0.005
529.50,0.005
530.00,0.005
530.50,0.005
531.00,0.005
531.50,0.005
532.00,0.004
532.50,0.004
533.00,0.004
533.50,0.004
534.00,0.004
534.50,0.004
535.00,0.004
535.50,0.004
536.00,0.004
536.50,0.003
537.00,0.003
537.50,0.003
538.00,0.003
538.50,0.003
539.00,0.003
539.50,0.003
540.00,0.003
540.50,0.003
541.00,0.003
541.50,0.002
542.00,0.002
542.50,0.002
543.00,0.002
543.50,0.002
544.00,0.002
544.50,0.002
545.00,0.002
545.50,0.002
546.00,0.002
546.50,0.002
547.00,0.002
547.50,0.002
548.00,0.002
548.50,0.002
549.00,0.001
549.50,0.001
550.00,0.001
550.50,0.001
551.00,0.001
551.50,0.001
552.00,0.001
552.50,0.001
553.00,0.001
553.50,0.001
554.00,0.001
554.50,0.001
555.00,0.001
555.50,0.001
556.00,0.001
556.50,0.001
557.00,0.001
557.50,0.001
558.00,0.001
558.50,0.001
559.00,0.001
559.50,0.001
560.00,0.001
560.50,0.001
561.00,0.001
561.50,0.001
562.00,0.001
562.50,0.001
563.00,0.001
563.50,0.001
564.00,0.001
564.50,0.001
565.00,0.001
565.50,0.001
566.00,0.001
566.50,0.001
567.00,0.001
567.50,0.001
568.00,0.001
568.50,0.001
569.00,0.001
569.50,0.001
570.00,0.001
570.50,0.001
571.00,0.001
571.50,0.001
572.00,0.001
572.50,0.001
573.00,0.001
573.50,0.001
574.00,0.001
574.50,0.001
575.00,0.001
575.50,0.001
576.00,0.001
576.50,0.001
577.00,0.001
577.50,0.001
578.00,0.001
578.50,0.001
579.00,0.001
579.50,0.001
580.00,0.001
580.50,0.001
581.00,0.001
581.50,0.001
582.00,0.001
582.50,0.001
583.00,0.001
583.50,0.001
