"260C 300s - RawData"
"Wavelength nm.","Abs."
498.00,0.058
498.50,0.058
499.00,0.057
499.50,0.057
500.00,0.057
500.50,0.057
501.00,0.057
501.50,0.056
502.00,0.056
502.50,0.055
503.00,0.055
503.50,0.055
504.00,0.054
504.50,0.054
505.00,0.053
505.50,0.053
506.00,0.052
506.50,0.052
507.00,0.051
507.50,0.051
508.00,0.050
508.50,0.049
509.00,0.049
509.50,0.048
510.00,0.047
510.50,0.047
511.00,0.046
511.50,0.045
512.00,0.045
512.50,0.044
513.00,0.043
513.50,0.043
514.00,0.042
514.50,0.041
515.00,0.040
515.50,0.040
516.00,0.039
516.50,0.038
517.00,0.037
517.50,0.037
518.00,0.036
518.50,0.035
519.00,0.034
519.50,0.033
520.00,0.032
520.50,0.032
521.00,0.031
521.50,0.030
522.00,0.029
522.50,0.028
523.00,0.028
523.50,0.027
524.00,0.026
524.50,0.026
525.00,0.025
525.50,0.024
526.00,0.023
526.50,0.023
527.00,0.022
527.50,0.021
528.00,0.020
528.50,0.020
529.00,0.019
529.50,0.018
530.00,0.018
530.50,0.017
531.00,0.016
531.50,0.016
532.00,0.015
532.50,0.014
533.00,0.014
533.50,0.014
534.00,0.013
534.50,0.013
535.00,0.012
535.50,0.012
536.00,0.011
536.50,0.011
537.00,0.010
537.50,0.010
538.00,0.010
538.50,0.009
539.00,0.009
539.50,0.008
540.00,0.008
540.50,0.008
541.00,0.008
541.50,0.007
542.00,0.007
542.50,0.007
543.00,0.006
543.50,0.006
544.00,0.006
544.50,0.006
545.00,0.005
545.50,0.005
546.00,0.005
546.50,0.005
547.00,0.004
547.50,0.004
548.00,0.004
548.50,0.004
549.00,0.004
549.50,0.004
550.00,0.004
550.50,0.003
551.00,0.003
551.50,0.003
552.00,0.003
552.50,0.003
553.00,0.003
553.50,0.003
554.00,0.003
554.50,0.003
555.00,0.003
555.50,0.002
556.00,0.002
556.50,0.002
557.00,0.002
557.50,0.002
558.00,0.002
558.50,0.002
559.00,0.002
559.50,0.002
560.00,0.002
560.50,0.002
561.00,0.002
561.50,0.002
562.00,0.002
562.50,0.002
563.00,0.002
563.50,0.002
564.00,0.002
564.50,0.002
565.00,0.001
565.50,0.002
566.00,0.001
566.50,0.001
567.00,0.001
567.50,0.002
568.00,0.001
568.50,0.001
569.00,0.001
569.50,0.001
570.00,0.001
570.50,0.002
571.00,0.001
571.50,0.001
572.00,0.001
572.50,0.001
573.00,0.001
573.50,0.001
574.00,0.001
574.50,0.001
575.00,0.001
575.50,0.001
576.00,0.001
576.50,0.001
577.00,0.001
577.50,0.001
578.00,0.001
578.50,0.001
579.00,0.001
579.50,0.001
580.00,0.001
580.50,0.001
581.00,0.001
581.50,0.001
582.00,0.001
582.50,0.001
583.00,0.001
583.50,0.001
584.00,0.001
584.50,0.001
585.00,0.001
585.50,0.001
586.00,0.001
586.50,0.001
587.00,0.001
587.50,0.001
588.00,0.001
588.50,0.001
589.00,0.001
589.50,0.001
590.00,0.001
590.50,0.001
591.00,0.001
591.50,0.001
592.00,0.001
592.50,0.001
593.00,0.001
593.50,0.001
594.00,0.001
594.50,0.001
595.00,0.001
595.50,0.001
596.00,0.001
596.50,0.001
597.00,0.001
597.50,0.001
598.00,0.001
598.50,0.001
599.00,0.001
599.50,0.001
600.00,0.001
600.50,0.001
601.00,0.001
601.50,0.001
602.00,0.001
602.50,0.001
603.00,0.001
603.50,0.001
604.00,0.001
604.50,0.001
605.00,0.001
605.50,0.001
606.00,0.001
606.50,0.001
607.00,0.001
607.50,0.001
608.00,0.001
608.50,0.001
609.00,0.001
609.50,0.001
610.00,0.001
610.50,0.001
611.00,0.001
611.50,0.001
612.00,0.001
612.50,0.001
613.00,0.001
613.50,0.001
614.00,0.001
614.50,0.001
615.00,0.001
615.50,0.001
616.00,0.001
616.50,0.001
617.00,0.001
617.50,0.001
618.00,0.001
618.50,0.001
619.00,0.001
619.50,0.001
620.00,0.001
620.50,0.001
621.00,0.001
621.50,0.001
622.00,0.001
622.50,0.001
623.00,0.001
623.50,0.001
624.00,0.001
624.50,0.001
625.00,0.002
625.50,0.003
626.00,0.004
626.50,0.004
627.00,0.005
627.50,0.004
628.00,0.004
628.50,0.003
629.00,0.003
629.50,0.003
630.00,0.003
630.50,0.003
631.00,0.003
631.50,0.003
632.00,0.003
632.50,0.003
633.00,0.003
633.50,0.003
634.00,0.003
634.50,0.003
635.00,0.003
635.50,0.003
636.00,0.003
636.50,0.002
637.00,0.002
637.50,0.002
638.00,0.002
638.50,0.002
639.00,0.002
639.50,0.002
640.00,0.002
640.50,0.002
641.00,0.002
641.50,0.002
642.00,0.002
642.50,0.002
643.00,0.002
643.50,0.002
644.00,0.002
644.50,0.002
645.00,0.002
645.50,0.002
646.00,0.002
646.50,0.002
647.00,0.002
647.50,0.002
648.00,0.002
648.50,0.002
649.00,0.002
649.50,0.002
650.00,0.002
650.50,0.002
651.00,0.002
651.50,0.002
652.00,0.002
652.50,0.002
653.00,0.002
653.50,0.001
654.00,0.001
654.50,0.001
655.00,0.001
655.50,0.002
656.00,0.002
656.50,0.002
657.00,0.002
657.50,0.002
658.00,0.002
658.50,0.002
659.00,0.002
659.50,0.002
660.00,0.002
660.50,0.002
661.00,0.002
661.50,0.002
662.00,0.002
662.50,0.002
663.00,0.002
663.50,0.002
664.00,0.002
664.50,0.002
665.00,0.002
665.50,0.002
666.00,0.002
666.50,0.002
667.00,0.002
667.50,0.002
668.00,0.002
668.50,0.002
669.00,0.002
669.50,0.002
670.00,0.002
670.50,0.002
671.00,0.002
671.50,0.002
672.00,0.002
672.50,0.002
673.00,0.002
673.50,0.002
674.00,0.002
674.50,0.002
675.00,0.002
675.50,0.001
676.00,0.002
676.50,0.002
677.00,0.002
677.50,0.002
678.00,0.002
678.50,0.002
679.00,0.002
679.50,0.002
680.00,0.002
680.50,0.002
681.00,0.001
681.50,0.001
682.00,0.002
682.50,0.002
683.00,0.002
683.50,0.001
684.00,0.001
684.50,0.001
685.00,0.001
685.50,0.001
686.00,0.001
686.50,0.001
687.00,0.001
687.50,0.001
688.00,0.001
688.50,0.001
689.00,0.001
689.50,0.001
690.00,0.001
690.50,0.001
691.00,0.001
691.50,0.001
692.00,0.001
692.50,0.002
693.00,0.002
693.50,0.002
694.00,0.001
694.50,0.001
695.00,0.001
695.50,0.001
696.00,0.001
696.50,0.001
697.00,0.001
697.50,0.001
698.00,0.001
698.50,0.001
699.00,0.001
699.50,0.001
700.00,0.001
