"260C 600s - RawData"
"Wavelength nm.","Abs."
498.00,0.062
498.50,0.062
499.00,0.062
499.50,0.062
500.00,0.061
500.50,0.061
501.00,0.061
501.50,0.061
502.00,0.061
502.50,0.061
503.00,0.060
503.50,0.060
504.00,0.060
504.50,0.060
505.00,0.059
505.50,0.059
506.00,0.058
506.50,0.058
507.00,0.058
507.50,0.057
508.00,0.057
508.50,0.056
509.00,0.056
509.50,0.055
510.00,0.055
510.50,0.054
511.00,0.053
511.50,0.053
512.00,0.052
512.50,0.051
513.00,0.051
513.50,0.050
514.00,0.049
514.50,0.049
515.00,0.048
515.50,0.047
516.00,0.047
516.50,0.046
517.00,0.045
517.50,0.044
518.00,0.043
518.50,0.043
519.00,0.042
519.50,0.041
520.00,0.040
520.50,0.039
521.00,0.038
521.50,0.038
522.00,0.037
522.50,0.036
523.00,0.035
523.50,0.034
524.00,0.033
524.50,0.032
525.00,0.031
525.50,0.030
526.00,0.030
526.50,0.029
527.00,0.028
527.50,0.027
528.00,0.026
528.50,0.025
529.00,0.024
529.50,0.024
530.00,0.023
530.50,0.022
531.00,0.021
531.50,0.020
532.00,0.020
532.50,0.019
533.00,0.018
533.50,0.018
534.00,0.017
534.50,0.016
535.00,0.016
535.50,0.015
536.00,0.014
536.50,0.014
537.00,0.013
537.50,0.013
538.00,0.012
538.50,0.011
539.00,0.011
539.50,0.010
540.00,0.010
540.50,0.010
541.00,0.009
541.50,0.009
542.00,0.008
542.50,0.008
543.00,0.007
543.50,0.007
544.00,0.007
544.50,0.006
545.00,0.006
545.50,0.005
546.00,0.005
546.50,0.005
547.00,0.005
547.50,0.004
548.00,0.004
548.50,0.004
549.00,0.004
549.50,0.003
550.00,0.003
550.50,0.003
551.00,0.003
551.50,0.002
552.00,0.002
552.50,0.002
553.00,0.002
553.50,0.002
554.00,0.002
554.50,0.002
555.00,0.001
555.50,0.001
556.00,0.001
556.50,0.001
557.00,0.001
557.50,0.001
558.00,0.001
558.50,0.001
559.00,0.001
559.50,0.001
560.00,0.001
560.50,0.001
561.00,0.000
561.50,0.000
562.00,0.000
562.50,0.000
563.00,0.000
563.50,0.000
564.00,-0.000
564.50,-0.000
565.00,-0.000
565.50,-0.000
566.00,-0.000
566.50,-0.000
567.00,-0.000
567.50,-0.000
568.00,-0.000
568.50,-0.000
569.00,-0.000
569.50,-0.000
570.00,-0.000
570.50,-0.000
571.00,-0.000
571.50,-0.000
572.00,-0.000
572.50,-0.000
573.00,-0.000
573.50,-0.000
574.00,-0.000
574.50,-0.000
575.00,-0.000
575.50,-0.000
576.00,-0.001
576.50,-0.001
577.00,-0.001
577.50,-0.001
578.00,-0.001
578.50,-0.001
579.00,-0.001
579.50,-0.001
580.00,-0.001
580.50,-0.001
581.00,-0.001
581.50,-0.001
582.00,-0.001
582.50,-0.001
583.00,-0.001
583.50,-0.001
584.00,-0.001
584.50,-0.001
585.00,-0.001
585.50,-0.001
586.00,-0.001
586.50,-0.001
587.00,-0.001
587.50,-0.001
588.00,-0.001
588.50,-0.001
589.00,-0.001
589.50,-0.001
590.00,-0.001
590.50,-0.001
591.00,-0.001
591.50,-0.001
592.00,-0.001
592.50,-0.001
593.00,-0.000
593.50,-0.000
594.00,-0.001
594.50,-0.001
595.00,-0.001
595.50,-0.001
596.00,-0.001
596.50,-0.001
597.00,-0.001
597.50,-0.001
598.00,-0.001
598.50,-0.001
599.00,-0.001
599.50,-0.001
600.00,-0.001
600.50,-0.001
601.00,-0.001
601.50,-0.001
602.00,-0.001
602.50,-0.001
603.00,-0.001
603.50,-0.001
604.00,-0.001
604.50,-0.001
605.00,-0.001
605.50,-0.001
606.00,-0.001
606.50,-0.001
607.00,-0.001
607.50,-0.001
608.00,-0.001
608.50,-0.001
609.00,-0.001
609.50,-0.001
610.00,-0.001
610.50,-0.001
611.00,-0.001
611.50,-0.001
612.00,-0.001
612.50,-0.001
613.00,-0.001
613.50,-0.001
614.00,-0.001
614.50,-0.001
615.00,-0.001
615.50,-0.001
616.00,-0.001
616.50,-0.001
617.00,-0.001
617.50,-0.001
618.00,-0.001
618.50,-0.001
619.00,-0.001
619.50,-0.001
620.00,-0.001
620.50,-0.001
621.00,-0.001
621.50,-0.001
622.00,-0.001
622.50,-0.001
623.00,-0.001
623.50,-0.001
624.00,-0.001
624.50,-0.001
625.00,-0.001
625.50,-0.001
626.00,-0.001
626.50,-0.001
627.00,-0.001
627.50,-0.001
628.00,-0.001
628.50,-0.001
629.00,-0.001
629.50,-0.001
630.00,-0.001
630.50,-0.001
631.00,-0.001
631.50,-0.001
632.00,-0.001
632.50,-0.001
633.00,-0.001
