"240C 75s - RawData"
"Wavelength nm.","Abs."
300.00,0.360
300.50,0.358
301.00,0.357
301.50,0.354
302.00,0.352
302.50,0.351
303.00,0.349
303.50,0.347
304.00,0.344
304.50,0.342
305.00,0.339
305.50,0.336
306.00,0.334
306.50,0.332
307.00,0.330
307.50,0.328
308.00,0.326
308.50,0.324
309.00,0.321
309.50,0.319
310.00,0.317
310.50,0.314
311.00,0.312
311.50,0.310
312.00,0.309
312.50,0.306
313.00,0.304
313.50,0.302
314.00,0.299
314.50,0.296
315.00,0.294
315.50,0.292
316.00,0.290
316.50,0.287
317.00,0.284
317.50,0.281
318.00,0.278
318.50,0.274
319.00,0.272
319.50,0.269
320.00,0.267
320.50,0.264
321.00,0.261
321.50,0.258
322.00,0.255
322.50,0.252
323.00,0.250
323.50,0.248
324.00,0.246
324.50,0.244
325.00,0.242
325.50,0.240
326.00,0.238
326.50,0.238
327.00,0.238
327.50,0.236
328.00,0.235
328.50,0.235
329.00,0.231
329.50,0.227
330.00,0.228
330.50,0.226
331.00,0.223
331.50,0.220
332.00,0.218
332.50,0.213
333.00,0.209
333.50,0.206
334.00,0.203
334.50,0.201
335.00,0.199
335.50,0.196
336.00,0.194
336.50,0.192
337.00,0.190
337.50,0.188
338.00,0.186
338.50,0.184
339.00,0.182
339.50,0.180
340.00,0.178
340.50,0.176
341.00,0.174
341.50,0.173
342.00,0.171
342.50,0.169
343.00,0.167
343.50,0.165
344.00,0.164
344.50,0.162
345.00,0.160
345.50,0.159
346.00,0.157
346.50,0.156
347.00,0.154
347.50,0.153
348.00,0.151
348.50,0.150
349.00,0.148
349.50,0.147
350.00,0.145
350.50,0.144
351.00,0.143
351.50,0.142
352.00,0.140
352.50,0.139
353.00,0.138
353.50,0.136
354.00,0.135
354.50,0.134
355.00,0.133
355.50,0.132
356.00,0.130
356.50,0.129
357.00,0.128
357.50,0.127
358.00,0.126
358.50,0.125
359.00,0.124
359.50,0.123
360.00,0.122
360.50,0.121
361.00,0.121
361.50,0.120
362.00,0.120
362.50,0.120
363.00,0.120
363.50,0.119
364.00,0.118
364.50,0.117
365.00,0.116
365.50,0.115
366.00,0.114
366.50,0.113
367.00,0.112
367.50,0.111
368.00,0.110
368.50,0.110
369.00,0.109
369.50,0.108
370.00,0.107
370.50,0.106
371.00,0.105
371.50,0.104
372.00,0.103
372.50,0.102
373.00,0.101
373.50,0.100
374.00,0.100
374.50,0.099
375.00,0.099
375.50,0.098
376.00,0.097
376.50,0.097
377.00,0.096
377.50,0.096
378.00,0.095
378.50,0.094
379.00,0.094
379.50,0.093
380.00,0.092
380.50,0.092
381.00,0.091
381.50,0.090
382.00,0.090
382.50,0.089
383.00,0.088
383.50,0.088
384.00,0.087
384.50,0.086
385.00,0.086
385.50,0.085
386.00,0.085
386.50,0.084
387.00,0.083
387.50,0.083
388.00,0.082
388.50,0.082
389.00,0.081
389.50,0.081
390.00,0.080
390.50,0.080
391.00,0.079
391.50,0.078
392.00,0.078
392.50,0.077
393.00,0.076
393.50,0.076
394.00,0.075
394.50,0.075
395.00,0.074
395.50,0.074
396.00,0.073
396.50,0.073
397.00,0.072
397.50,0.071
398.00,0.071
398.50,0.070
399.00,0.070
399.50,0.069
400.00,0.069
