"260C 1800s - RawData"
"Wavelength nm.","Abs."
300.00,0.417
300.50,0.415
301.00,0.412
301.50,0.410
302.00,0.407
302.50,0.404
303.00,0.401
303.50,0.398
304.00,0.395
304.50,0.392
305.00,0.389
305.50,0.387
306.00,0.383
306.50,0.381
307.00,0.378
307.50,0.375
308.00,0.372
308.50,0.369
309.00,0.366
309.50,0.363
310.00,0.360
310.50,0.358
311.00,0.355
311.50,0.353
312.00,0.351
312.50,0.348
313.00,0.345
313.50,0.343
314.00,0.340
314.50,0.337
315.00,0.335
315.50,0.332
316.00,0.329
316.50,0.326
317.00,0.323
317.50,0.320
318.00,0.316
318.50,0.314
319.00,0.311
319.50,0.308
320.00,0.305
320.50,0.303
321.00,0.300
321.50,0.297
322.00,0.295
322.50,0.292
323.00,0.290
323.50,0.287
324.00,0.285
324.50,0.282
325.00,0.280
325.50,0.277
326.00,0.274
326.50,0.272
327.00,0.269
327.50,0.266
328.00,0.264
328.50,0.262
329.00,0.259
329.50,0.257
330.00,0.254
330.50,0.251
331.00,0.249
331.50,0.246
332.00,0.244
332.50,0.241
333.00,0.239
333.50,0.237
334.00,0.235
334.50,0.232
335.00,0.230
335.50,0.228
336.00,0.225
336.50,0.223
337.00,0.221
337.50,0.219
338.00,0.217
338.50,0.215
339.00,0.213
339.50,0.210
340.00,0.208
340.50,0.206
341.00,0.204
341.50,0.202
342.00,0.200
342.50,0.198
343.00,0.196
343.50,0.194
344.00,0.192
344.50,0.190
345.00,0.188
345.50,0.186
346.00,0.185
346.50,0.182
347.00,0.181
347.50,0.179
348.00,0.177
348.50,0.175
349.00,0.174
349.50,0.172
350.00,0.170
350.50,0.169
351.00,0.167
351.50,0.166
352.00,0.165
352.50,0.163
353.00,0.162
353.50,0.160
354.00,0.159
354.50,0.157
355.00,0.156
355.50,0.154
356.00,0.153
356.50,0.151
357.00,0.150
357.50,0.149
358.00,0.148
358.50,0.147
359.00,0.145
359.50,0.144
360.00,0.143
360.50,0.141
361.00,0.140
361.50,0.139
362.00,0.138
362.50,0.136
363.00,0.135
363.50,0.134
364.00,0.133
364.50,0.131
365.00,0.130
365.50,0.129
366.00,0.128
366.50,0.127
367.00,0.126
367.50,0.125
368.00,0.124
368.50,0.123
369.00,0.122
369.50,0.120
370.00,0.120
370.50,0.119
371.00,0.118
371.50,0.117
372.00,0.116
372.50,0.115
373.00,0.114
373.50,0.113
374.00,0.112
374.50,0.111
375.00,0.111
375.50,0.110
376.00,0.109
376.50,0.108
377.00,0.107
377.50,0.107
378.00,0.106
378.50,0.105
379.00,0.104
379.50,0.103
380.00,0.102
380.50,0.102
381.00,0.101
381.50,0.100
382.00,0.099
382.50,0.098
383.00,0.098
383.50,0.097
384.00,0.096
384.50,0.095
385.00,0.095
385.50,0.094
386.00,0.093
386.50,0.092
387.00,0.092
387.50,0.091
388.00,0.090
388.50,0.090
389.00,0.089
389.50,0.088
390.00,0.087
390.50,0.087
391.00,0.086
391.50,0.085
392.00,0.085
392.50,0.084
393.00,0.083
393.50,0.082
394.00,0.082
394.50,0.081
395.00,0.081
395.50,0.080
396.00,0.079
396.50,0.079
397.00,0.078
397.50,0.078
398.00,0.077
398.50,0.076
399.00,0.076
399.50,0.075
400.00,0.075
400.50,0.074
401.00,0.074
401.50,0.073
402.00,0.073
402.50,0.072
403.00,0.072
403.50,0.071
404.00,0.070
404.50,0.070
405.00,0.069
405.50,0.069
406.00,0.068
406.50,0.068
407.00,0.067
407.50,0.067
408.00,0.066
408.50,0.066
409.00,0.065
409.50,0.065
410.00,0.064
410.50,0.064
411.00,0.063
411.50,0.063
412.00,0.062
412.50,0.061
413.00,0.061
413.50,0.060
414.00,0.060
414.50,0.059
415.00,0.059
415.50,0.058
416.00,0.058
416.50,0.057
417.00,0.057
417.50,0.057
418.00,0.056
418.50,0.056
419.00,0.055
419.50,0.055
420.00,0.054
420.50,0.054
421.00,0.054
421.50,0.053
422.00,0.053
422.50,0.053
423.00,0.052
423.50,0.052
424.00,0.051
424.50,0.051
425.00,0.050
425.50,0.050
426.00,0.050
426.50,0.049
427.00,0.049
427.50,0.049
428.00,0.049
428.50,0.048
429.00,0.048
429.50,0.048
430.00,0.047
430.50,0.047
431.00,0.046
431.50,0.046
432.00,0.046
432.50,0.045
433.00,0.045
433.50,0.045
434.00,0.044
434.50,0.044
435.00,0.044
435.50,0.044
436.00,0.043
436.50,0.043
437.00,0.043
437.50,0.042
438.00,0.042
438.50,0.042
439.00,0.042
439.50,0.042
440.00,0.041
440.50,0.041
441.00,0.041
441.50,0.041
442.00,0.040
442.50,0.040
443.00,0.040
443.50,0.040
444.00,0.039
444.50,0.039
445.00,0.039
445.50,0.039
